,Variables,Missing_percentage
0,var_0,199955
1,var_179,1509
2,var_44,1208
3,var_93,889
4,var_146,804
5,var_192,733
6,var_31,637
7,var_133,589
8,var_105,572
9,var_38,502
10,var_124,498
11,var_110,470
12,var_67,465
13,var_193,461
14,var_186,446
15,var_62,432
16,var_170,413
17,var_58,401
18,var_172,397
19,var_106,397
20,var_149,383
21,var_52,353
22,var_152,331
23,var_104,325
24,var_138,323
25,var_74,313
26,var_11,309
27,var_22,289
28,var_168,286
29,var_167,279
30,var_21,275
31,var_46,268
32,var_148,263
33,var_56,254
34,var_120,254
35,var_65,251
36,var_25,241
37,var_155,239
38,var_76,233
39,var_185,231
40,var_118,228
41,var_50,222
42,var_17,221
43,var_35,198
44,var_28,193
45,var_139,190
46,var_125,188
47,var_63,187
48,var_26,186
49,var_36,178
50,var_115,177
51,var_159,177
52,var_100,176
53,var_98,172
54,var_81,169
55,var_190,163
56,var_95,162
57,var_39,158
58,var_171,154
59,var_86,152
60,var_66,152
61,var_162,150
62,var_142,148
63,var_163,146
64,var_57,145
65,var_29,144
66,var_195,132
67,var_87,131
68,var_173,131
69,var_140,129
70,var_72,128
71,var_10,125
72,var_169,122
73,var_6,113
74,var_143,109
75,var_117,107
76,var_147,104
77,var_68,96
78,var_129,96
79,var_48,95
80,var_198,94
81,var_102,92
82,var_23,90
83,var_107,88
84,var_99,85
85,var_89,84
86,var_191,80
87,var_111,80
88,var_4,76
89,var_165,70
90,var_16,68
91,var_181,66
92,var_144,58
93,var_61,56
94,var_59,53
95,var_197,51
96,var_2,49
97,var_114,49
98,var_40,48
99,var_71,47
100,var_184,43
101,var_178,43
102,var_51,42
103,var_92,41
104,var_45,41
105,var_176,40
106,var_12,39
107,var_132,39
108,var_84,38
109,var_54,38
110,var_103,37
111,var_157,36
112,var_161,35
113,var_174,34
114,var_180,34
115,var_42,32
116,var_166,30
117,var_88,30
118,var_156,28
119,var_64,27
120,var_135,27
121,var_53,27
122,var_122,24
123,var_188,23
124,var_123,23
125,var_183,23
126,var_15,22
127,var_91,22
128,var_73,22
129,var_80,22
130,var_3,22
131,var_199,20
132,var_7,19
133,var_43,17
134,var_158,17
135,var_116,16
136,var_130,15
137,var_145,15
138,var_128,15
139,var_69,15
140,var_189,15
141,var_150,15
142,var_112,14
143,var_121,13
144,var_30,12
145,var_75,11
146,var_18,11
147,var_34,10
148,var_90,9
149,var_97,8
150,var_154,7
151,var_49,7
152,var_70,6
153,var_1,6
154,var_131,6
155,var_83,6
156,var_96,6
157,var_182,5
158,var_60,5
159,var_153,4
160,var_85,4
161,var_119,4
162,var_5,4
163,var_24,4
164,var_33,4
165,var_177,3
166,var_27,3
167,var_187,3
168,var_160,3
169,var_127,2
170,var_32,2
171,var_47,2
172,var_175,2
173,var_14,2
174,var_194,2
175,var_8,2
176,var_136,2
177,var_78,2
178,var_82,2
179,var_134,1
180,var_13,1
181,var_37,1
182,var_141,1
183,var_113,1
184,var_151,1
185,var_164,1
186,var_20,1
187,var_19,1
188,var_109,1
189,var_196,0
190,var_9,0
191,var_77,0
192,var_41,0
193,var_55,0
194,var_79,0
195,var_94,0
196,target,0
197,var_101,0
198,var_108,0
199,var_137,0
200,var_126,0
201,ID_code,0
